"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Research Scientist, Semantic Scholar","Allen Institute for Artificial Intelligence","Seattle, WA",4.9,"$136K-$249K (Glassdoor Est.)","4d",0,136,249,192.5,"WA",96,"na","na"
"Research Scientist, Mosaic","Allen Institute for Artificial Intelligence","Seattle, WA",4.9,"$136K-$249K (Glassdoor Est.)","6d",0,136,249,192.5,"WA",144,"na","na"
"Computer Vision Research Scientist - Audio","Facebook","Redmond, WA",4.6,"$107K-$205K (Glassdoor Est.)","24h",0,107,205,156,"WA",24,"na","na"
"Senior Platform Engineer, Enterprise Data Platform","Walt Disney Company","Seattle, WA",4.1,"$97K-$166K (Glassdoor Est.)","24h",0,97,166,131.5,"WA",24,"na","senior"
"Sr Bioinformatics Support Scientist","Illumina","Seattle, WA",4,"$91K-$168K (Glassdoor Est.)","7d",0,91,168,129.5,"WA",168,"na","senior"
"Staff Scientist","Benaroya Research Institute","Seattle, WA",4.2,"$43K-$97K (Glassdoor Est.)","5d",0,43,97,70,"WA",120,"na","na"
"Sr. Data Engineer, Advertising Finance","Amazon","Seattle, WA",3.9,"$100K-$154K (Glassdoor Est.)","24h",0,100,154,127,"WA",24,"data engineer","senior"
"Lead Software Engineer, Data Infrastructure","Grand Rounds","Seattle, WA",4.2,"$106K-$191K (Glassdoor Est.)","7d",0,106,191,148.5,"WA",168,"na","senior"
"Sr Data Engineer - Trend Analytics","Amazon","Seattle, WA",3.9,"$100K-$154K (Glassdoor Est.)","24h",0,100,154,127,"WA",24,"data engineer","senior"
"Software Engineer in Big Data Infra","PayPal","Bellevue, WA",3.9,"$79K-$141K (Glassdoor Est.)","13d",0,79,141,110,"WA",312,"na","na"
"Applied Scientist Manager - Delivery Experience","Amazon","Seattle, WA",3.9,"$37K-$231K (Glassdoor Est.)","3d",0,37,231,134,"WA",72,"manager","na"
"Senior Manager Data Science","Amazon","Seattle, WA",3.9,"$134K-$213K (Glassdoor Est.)","3d",0,134,213,173.5,"WA",72,"manager","senior"
"Actuator Research Scientist","Facebook","Redmond, WA",4.6,"$107K-$205K (Glassdoor Est.)","24h",0,107,205,156,"WA",24,"na","na"
"Research Scientist- Electro-Optic Device Modeling, Fabrication and Testing","Facebook","Redmond, WA",4.6,"$107K-$205K (Glassdoor Est.)","24h",0,107,205,156,"WA",24,"na","na"
"Research Scientist - Optical Sciences and Polarization","Facebook","Redmond, WA",4.6,"$107K-$205K (Glassdoor Est.)","24h",0,107,205,156,"WA",24,"na","na"
"Postdoctoral Research Scientist, Auditory Spatial Perception (PhD)","Facebook","Redmond, WA",4.6,"$76K-$147K (Glassdoor Est.)","24h",0,76,147,111.5,"WA",24,"na","na"
"VARIANT REVIEW SCIENTIST","University of Washington","Seattle, WA",4.2,"$29K-$72K (Glassdoor Est.)","5d",0,29,72,50.5,"WA",120,"na","na"
"Urgent Hiring-Data Analyst- Transcription","Pactera Technologies","Bothell, WA",4.5,"$42K-$76K (Glassdoor Est.)","17d",0,42,76,59,"WA",408,"analyst","na"
"Data Coordinator - clinical/ Pharma - scientific data handling","Fortira Inc","Seattle, WA",3.1,"$36K-$74K (Glassdoor Est.)","3d",0,36,74,55,"WA",72,"na","na"
